Ticker,Price,50 Day Average,200 Day Average
BEN,21.53,20.2374,23.4969
FCX,46.87,46.306,46.08165
GRMN,209.67,175.6408,159.32745
IT,536.9,510.2222,470.78934
GE,180.76,180.4108,157.54999
GEHC,86.78,88.7792,84.3305
GEV,336.3,253.9686,193.7741
GEN,29.12,27.0764,24.1883
GNRC,183.5,158.4774,140.5503
GD,308.46,301.1798,289.6153
GIS,65.99,71.8476,68.31215
GM,55.05,48.561,44.8927
GPC,123.28,133.2578,142.83745
GILD,91.69,84.5696,74.31385
GPN,115.04,104.5272,112.2319
GL,111.0,106.2898,99.4807
GDDY,175.81,159.4364,138.43706
GS,595.98,504.604,454.15445
HAL,30.5,29.17,33.97485
HIG,116.72,116.27,104.1574
HAS,63.49,69.5946,60.74455
HCA,348.75,391.069,343.75336
DOC,22.33,22.2994,19.97
HSIC,70.01,70.587,71.21675
HSY,176.82,189.864,192.5509
HES,142.57,135.4524,145.2147
HPE,21.33,19.4442,18.4029
HLT,246.43,228.903,212.09296
HOLX,80.49,81.0316,77.34065
HD,388.37,393.8452,364.0035
HON,216.4,208.2498,203.765
HRL,30.72,31.5198,32.30835
HST,17.99,17.6308,18.4786
HWM,114.86,99.748,81.2448
HPQ,36.91,35.6936,32.9452
HUBB,472.12,425.1896,394.12024
HUM,288.51,291.9464,337.44385
HBAN,17.52,14.9852,13.8443
HII,203.21,255.6358,264.55334
IBM,213.6,217.4164,190.8254
IEX,234.9,208.3578,215.0751
IDXX,423.42,474.8768,501.7746
ITW,275.47,256.6736,251.6535
INCY,80.95,66.7932,61.0619
IR,102.98,95.767,92.3309
PODD,239.3,229.937,195.64935
INTC,25.05,21.962,31.4182
ICE,155.79,161.6932,144.62375
IFF,87.57,102.5986,93.01805
IP,58.83,49.023,42.6831
IPG,30.38,30.9968,31.12025
INTU,648.39,623.166,631.71405
ISRG,515.55,492.0884,430.57996
IVZ,18.59,17.296,16.12355
INVH,33.36,34.7576,34.70795
IQV,221.25,232.2386,232.2437
IRM,114.44,118.9588,93.29885
JBHT,192.82,173.1224,177.1339
JBL,137.77,117.3504,121.22745
JKHY,180.4,178.9822,170.5768
J,147.62,132.46774,123.11034
JNJ,157.88,162.9264,156.0868
JCI,81.47,74.8256,67.58135
JPM,247.06,216.6248,200.97105
JNPR,39.01,38.879,37.1805
K,80.94,80.63,64.89415
KVUE,22.5,22.5838,20.34715
KDP,32.98,36.2546,33.4709
KEY,19.97,16.871,15.30465
KEYS,161.85,153.7876,148.1189
KMB,131.64,141.355,134.4795
KIM,24.32,23.5372,20.689
KMI,26.35,23.0706,20.03775
KKR,152.27,131.6312,110.36105
KLAC,669.66,735.5938,733.68164
KHC,33.42,35.012,35.1828
KR,59.8,55.5184,53.3037
LHX,256.45,239.8772,223.8224
LH,234.38,222.597,214.49805
LRCX,76.78,77.71294,89.58041
LW,79.99,69.2768,81.63785
LVS,50.7,47.264,46.7854
LDOS,194.2,165.0714,143.89095
LEN,168.7,180.7404,165.12845
LLY,776.38,901.4278,829.3478
LIN,462.63,472.0096,449.86816
LYV,125.99,108.4368,98.3264
LKQ,38.14,39.3074,44.03495
LMT,551.82,578.2928,495.6279
L,82.76,79.5914,76.92205
LOW,261.73,263.7634,239.83005
LULU,313.14,277.4854,334.12924
LYB,86.43,92.792,96.741
MTB,216.56,181.1638,156.60535
MRO,28.8,27.254,26.9008
MPC,155.25,161.1556,174.52455
MKTX,274.87,269.1878,229.69315
MAR,276.26,249.243,242.0613
MMC,223.25,224.9134,212.05815
MLM,617.31,545.0718,561.09546
MAS,80.21,81.6674,74.58385
MA,521.13,497.8898,467.98376
MTCH,37.88,36.9447,34.4501
MKC,76.66,81.0124,74.3413
MCD,294.0,298.7036,279.279
MCK,549.31,510.8752,540.4854
MDT,90.11,89.6884,84.45855
MRK,100.73,111.3492,121.81965
META,572.05,558.8624,504.62195
MET,83.25,80.835,73.7297
MTD,1398.19,1400.7396,1355.2043
MGM,37.43,38.3404,41.23825
MCHP,73.75,76.997,85.3823
MU,111.83,99.4646,108.66065
MSFT,420.18,420.607,421.0584
MAA,153.59,157.6904,141.24405
MRNA,51.81,63.023,99.626526
MHK,147.6,152.0064,129.56
MOH,326.2,331.702,345.60236
TAP,56.52,55.3832,57.4784
MDLZ,66.37,72.1318,70.3725
MPWR,785.29,887.505,781.98566
MNST,54.44,51.3942,52.8166
MCO,461.14,474.9502,426.1171
MS,131.49,108.158,97.84035
MOS,27.59,26.4652,29.07185
MSI,469.13,452.6126,386.1512
MSCI,574.82,580.4032,540.0866
NDAQ,77.59,73.3266,64.2822
NTAP,121.13,121.0934,113.5494
NFLX,780.21,717.2444,646.0275
NEM,44.48,52.4616,43.49085
NWSA,28.95,26.5998,26.3459
NWS,30.98,28.0244,27.3677
NEE,74.52,82.2022,71.7119
NKE,75.32,81.6686,88.57335
NI,35.16,34.2692,29.8123
NDSN,264.36,253.632,252.4185
NSC,277.0,250.9666,241.8149
NTRS,106.57,93.2902,86.22905
NOC,523.14,523.396,476.33005
NCLH,27.76,21.3716,18.7158
NRG,92.39,86.6228,75.2191
NUE,167.74,147.6002,166.0459
NVDA,145.61,126.2026,105.932396
NVR,9202.54,9429.136,8218.252
NXPI,231.38,236.2366,247.8609
ORLY,1234.15,1158.12,1086.0428
OXY,51.39,52.4388,59.4096
ODFL,230.18,196.6968,197.55534
OMC,105.06,101.5952,94.61545
ON,72.27,70.932,72.5765
OKE,102.2,94.2014,82.9408
ORCL,181.24,165.5104,135.79675
OTIS,100.56,99.4844,96.35665
PCAR,116.01,101.1776,105.8494
PKG,241.59,216.5666,191.36555
PLTR,55.53,39.0728,27.9582
PANW,385.18,353.739,323.45276
PARA,11.38,10.494,11.39105
PH,709.46,619.7826,556.9252
PAYX,147.61,137.0388,126.1664
PAYC,231.09,170.9744,172.31325
PYPL,81.41,76.9594,66.35483
PNR,102.9,95.0916,83.86255
PEP,164.71,172.5258,171.14215
PFE,27.36,28.9592,28.19215
PCG,20.25,19.9778,18.04885
PM,125.31,124.1118,105.85355
PSX,127.9,130.4844,141.52895
PNW,90.1,88.2972,79.02145
PNC,204.97,184.6674,164.73225
POOL,370.63,361.9628,364.59265
PPG,125.76,127.8186,131.8319
PPL,32.55,32.3606,29.0977
PFG,86.14,84.7344,81.68775
PG,161.05,171.2298,165.27145
PGR,258.75,251.0446,218.0446
PLD,113.74,123.1336,120.74985
PRU,127.73,121.3292,115.9839
PEG,83.81,86.6168,74.0961
PTC,198.04,179.393,179.5338
PSA,325.31,347.1398,301.95505
PHM,129.17,137.2104,119.9843
QRVO,72.86,99.8872,108.08115
PWR,310.82,292.6676,261.9941
QCOM,172.99,168.4792,175.3511
DGX,155.18,153.4424,140.8275
RL,208.04,190.8342,176.5915
RJF,160.79,129.3398,121.99515
RTX,121.59,122.0782,106.8694
O,57.0,62.055,56.3815
REG,72.82,72.2048,64.76485
REGN,816.65,1036.2084,1011.517
RF,26.31,23.1734,20.6428
RSG,207.07,203.1888,192.85605
RMD,245.1,243.0742,210.85915
RVTY,124.86,121.5756,111.76235
ROK,294.0,266.4994,271.4877
ROL,48.62,49.543,47.13
ROP,564.67,550.7486,546.0156
ROST,138.59,147.5336,143.65524
RCL,226.64,183.95,152.65974
SPGI,489.99,511.358,461.44736
CRM,306.9,275.426,273.46814
SBAC,218.75,237.819,215.1045
SLB,43.77,42.2436,46.84695
STX,102.98,104.7938,97.10515
SRE,88.26,83.246,76.4267
NOW,994.48,904.9178,797.2062
SHW,380.73,373.2188,334.1383
SPG,173.61,168.8908,154.25134
SWKS,90.47,97.5828,101.95025
SJM,115.62,118.0254,118.08705
SW,53.21,46.8528,45.953335
SNA,354.24,298.1496,282.127
SOLV,74.14,69.587,62.26156
SO,87.42,89.8466,79.1962
LUV,31.39,29.8882,29.0183
SWK,92.03,102.8734,93.28605
SBUX,96.08,96.0034,87.52785
STT,96.81,88.6318,79.0103
